\\ Solid Edge Holes.txt file.
\\ The location of this file is set by Tools | Options, File Locations.
\\ For example: c:\Program Files\Solid Edgev19\Program\Holes.txt
\\ You can add, edit, or remove entries from this file. If you edit this file, you should
\\ backup the file before uninstalling Solid Edge.

\\ This file is intended to be used with systems that have a period “.” delimiter for
\\ the decimal place

\\ Localization requirements are that only comments are to be localized.
\\ The separator between various fields must be a semi colon ";"
\\ All lines starting with "\\" are ignored

\\ This file contains both Inch and Metric thread types which are listed in separate
\\ sections that start and end all of the following fields with:
\\ “BeginInch” and “EndInch” for inch based threads and
\\ “BeginMetric” and “EndMetric” for metric based threads and

\\ The fields in this file are:
\\ nominal diameter
\\ internal minor diameter
\\ external minor diameter
\\ thread type
\\ thread family

\\ For the hole feature:
\\ The nominal diameter is listed in the UI and is used for size selection, 
\\ but a hole equal to the internal minor diameter is created

\\ For the Thread feature:
\\ For internal threads (holes) the hole must be modeled to the internal minor diameter
\\ For external threads (shafts) the cylinder must be modeled to the nominal diameter

\\ The thread family is used to classify similar threads to allow automatic thread
\\ sizing when the underlying diameter changes. Solid Edge will maintain the thread
\\ family, but will search for the appropriate diameter to match the model.

\\ Beginning of inch sizes
BeginInch 
140; 137.835; 137.546;  M140 x 2; Mx2
140; 138.376; 138.16;  M140 x 1.5; Mx1.5
145; 138.505; 137.639;  M145; M
145; 140.67; 140.093;  M145 x 4; Mx4
145; 141.752; 141.319;  M145 x 3; Mx3
145; 142.835; 142.546;  M145 x 2; Mx2
145; 143.376; 143.16;  M145 x 1.5; Mx1.5
150; 143.505; 142.639;  M150; M
150; 145.67; 145.093;  M150 x 4; Mx4
150; 146.752; 146.319;  M150 x 3; Mx3
150; 147.835; 147.546;  M150 x 2; Mx2
150; 148.376; 148.16;  M150 x 1.5; Mx1.5
151.13; 148.172; 148.172;  G5 1/2; G5
155; 148.505; 147.639;  M155; M
155; 150.67; 150.093;  M155 x 4; Mx4
155; 151.752; 151.319;  M155 x 3; Mx3
155; 152.835; 152.546;  M155 x 2; Mx2
160; 153.505; 152.639;  M160; M
160; 155.67; 155.093;  M160 x 4; Mx4
160; 156.752; 156.319;  M160 x 3; Mx3
160; 157.835; 157.546;  M160 x 2; Mx2
163.83; 160.872; 160.872;  G6; G6
165; 158.505; 157.639;  M165; M
165; 160.67; 160.093;  M165 x 4; Mx4
165; 161.752; 161.319;  M165 x 3; Mx3
165; 162.835; 162.546;  M165 x 2; Mx2
170; 163.505; 162.639;  M170; M
170; 165.67; 165.093;  M170 x 4; Mx4
170; 166.752; 166.319;  M170 x 3; Mx3
170; 167.835; 167.546;  M170 x 2; Mx2
175; 168.505; 167.639;  M175; M
175; 170.67; 170.093;  M175 x 4; Mx4
175; 171.752; 171.319;  M175 x 3; Mx3
175; 172.835; 172.546;  M175 x 2; Mx2
180; 173.505; 172.639;  M180; M
180; 175.67; 175.093;  M180 x 4; Mx4
180; 176.752; 176.319;  M180 x 3; Mx3
180; 177.835; 177.546;  M180 x 2; Mx2
185; 178.505; 177.639;  M185; M
185; 180.67; 180.093;  M185 x 4; Mx4
185; 181.752; 181.319;  M185 x 3; Mx3
185; 182.835; 182.546;  M185 x 2; Mx2
190; 183.505; 182.639;  M190; M
190; 185.67; 185.093;  M190 x 4; Mx4
190; 186.752; 186.319;  M190 x 3; Mx3
190; 187.835; 187.546;  M190 x 2; Mx2
195; 188.505; 187.639;  M195; M
195; 190.67; 190.093;  M195 x 4; Mx4
195; 191.752; 191.319;  M195 x 3; Mx3
195; 192.835; 192.546;  M195 x 2; Mx2
200; 193.505; 192.639;  M200; M
200; 195.67; 195.093;  M200 x 4; Mx4
200; 196.752; 196.319;  M200 x 3; Mx3
200; 197.835; 197.546;  M200 x 2; Mx2
205; 198.505; 197.639;  M205; M
205; 200.67; 200.093;  M205 x 4; Mx4
205; 201.752; 201.319;  M205 x 3; Mx3
210; 203.505; 202.639;  M210; M
210; 205.67; 205.093;  M210 x 4; Mx4
210; 206.752; 205.319;  M210 x 3; Mx3
215; 208.505; 207.639;  M215; M
215; 210.67; 210.093;  M215 x 4; Mx4
215; 211.752; 211.319;  M215 x 3; Mx3
220; 213.505; 212.639;  M220; M
220; 216; 215;  Tr 220 x 4; Trx4
220; 215.67; 215.093;  M220 x 4; Mx4
220; 216.752; 216.319;  M220 x 3; Mx3
225; 218.505; 217.639;  M225; M
225; 220.67; 220.093;  M225 x 4; Mx4
225; 221.752; 221.319;  M225 x 3; Mx3
230; 223.505; 222.639;  M230; M
230; 225.67; 225.093;  M230 x 4; Mx4
230; 226.752; 226.319;  M230 x 3; Mx3
235; 228.505; 227.639;  M235; M
235; 230.67; 230.093;  M235 x 4; Mx4
235; 231.752; 231.319;  M235 x 3; Mx3
240; 233.505; 232.639;  M240; M
240; 236; 235;  Tr 240 x 4; Trx4
240; 235.67; 235.093;  M240 x 4; Mx4
240; 236.752; 236.319;  M240 x 3; Mx3
245; 238.505; 237.639;  M245; M
245; 240.67; 240.093;  M245 x 4; Mx4
245; 241.752; 241.319;  M245 x 3; Mx3
250; 243.505; 242.639;  M250; M
250; 245.67; 245.093;  M250 x 4; Mx4
250; 246.752; 246.319;  M250 x 3; Mx3
255; 248.505; 247.639;  M255; M
255; 250.67; 250.093;  M255 x 4; Mx4
255; 251.752; 251.319;  M255 x 3; Mx3
260; 253.505; 252.639;  M260; M
260; 256; 255;  Tr 260 x 4; Trx4
260; 255.67; 255.093;  M260 x 4; Mx4
260; 256.752; 256.319;  M260 x 3; Mx3
265; 258.505; 257.639;  M265; M
265; 260.67; 260.093;  M265 x 4; Mx4
265; 261.752; 261.319;  M265 x 3; Mx3
270; 263.505; 262.639;  M270; M
270; 265.67; 265.093;  M270 x 4; Mx4
270; 266.752; 266.319;  M270 x 3; Mx3
275; 268.505; 267.639;  M275; M
275; 270.67; 270.093;  M275 x 4; Mx4
275; 271.752; 271.319;  M275 x 3; Mx3
280; 273.505; 272.639;  M280; M
280; 276; 275;  Tr 280 x 4; Trx4
280; 275.67; 275.093;  M280 x 4; Mx4
280; 276.752; 276.319;  M280 x 3; Mx3
285; 278.505; 277.639;  M285; M
285; 280.67; 280.093;  M285 x 4; Mx4
285; 281.752; 281.319;  M285 x 3; Mx3
290; 283.505; 282.639;  M290; M
290; 285.67; 285.093;  M290 x 4; Mx4
290; 286.752; 286.319;  M290 x 3; Mx3
295; 288.505; 287.639;  M295; M
295; 290.67; 290.093;  M295 x 4; Mx4
295; 291.752; 291.319;  M295 x 3; Mx3
300; 293.505; 292.639;  M300; M
300; 296; 295;  Tr 300 x 4; Trx4
300; 295.67; 295.093;  M300 x 4; Mx4
300; 296.752; 296.319;  M300 x 3; Mx3
310; 303.505; 302.639;  M310; M
310; 305.67; 305.093;  M310 x 4; Mx4
320; 313.505; 312.639;  M320; M
320; 315; 314;  Tr 320 x 5; Trx5
320; 315.67; 315.093;  M320 x 4; Mx4
330; 323.505; 322.639;  M330; M
330; 325.67; 325.093;  M330 x 4; Mx4
340; 333.505; 332.639;  M340; M
340; 335; 334;  Tr 340 x 5; Trx5
340; 335.67; 335.093;  M340 x 4; Mx4
350; 343.505; 342.639;  M350; M
350; 345.67; 345.093;  M350 x 4; Mx4
360; 353.505; 352.639;  M360; M
360; 355; 354;  Tr 360 x 5; Trx5
360; 355.67; 355.093;  M360 x 4; Mx4
370; 363.505; 362.639;  M370; M
370; 365.67; 365.093;  M370 x 4; Mx4
380; 373.505; 372.639;  M380; M
380; 375; 374;  Tr 380 x 5; Trx5
380; 375.67; 375.093;  M380 x 4; Mx4
390; 383.505; 382.639;  M390; M
390; 385.67; 385.093;  M390 x 4; Mx4
400; 393.505; 392.639;  M400; M
400; 395; 394;  Tr 400 x 5; Trx5
400; 395.67; 395.093;  M400 x 4; Mx4
410; 403.505; 402.639;  M410; M
420; 413.505; 412.639;  M420; M
420; 415; 414;  Tr 420 x 5; Trx5
430; 423.505; 422.639;  M430; M
440; 433.505; 432.639;  M440; M
440; 435; 434;  Tr 440 x 5; Trx5
450; 443.505; 442.639;  M450; M
460; 453.505; 452.639;  M460; M
460; 455; 454;  Tr 460 x 5; Trx5
470; 463.505; 462.639;  M470; M
480; 473.505; 472.639;  M480; M
480; 475; 474;  Tr 480 x 5; Trx5
490; 483.505; 482.639;  M490; M
500; 493.505; 492.639;  M500; M
500; 495; 494;  Tr 500 x 5; Trx5
510; 503.505; 502.639;  M510; M
520; 513.505; 512.639;  M520; M
530; 523.505; 522.639;  M530; M
530; 525; 524;  Tr 530 x 5; Trx5
540; 533.505; 532.639;  M540; M
550; 543.505; 542.639;  M550; M
560; 553.505; 552.639;  M560; M
560; 555; 554;  Tr 560 x 5; Trx5
570; 563.505; 562.639;  M570; M
580; 573.505; 572.639;  M580; M
590; 583.505; 582.639;  M590; M
600; 594; 593;  Tr 600 x 6; Trx6
600; 593.505; 592.639;  M600; M
630; 624; 623;  Tr 630 x 6; Trx6
670; 664; 663;  Tr 670 x 6; Trx6
710; 703; 702;  Tr 710 x 7; Trx7
750; 743; 742;  Tr 750 x 7; Trx7
800; 793; 792;  Tr 800 x 7; Trx7
850; 843; 842;  Tr 850 x 7; Trx7
900; 893; 892;  Tr 900 x 7; Trx7
950; 942; 941;  Tr 950 x 8; Trx8
1000; 992; 991;  Tr 1000 x 8; Trx8
1060; 1052; 1051;  Tr 1060 x 8; Trx8
EndMetric
\\ End of metric sizes.
